	skey	rstrt_nm	final_keywords	insta_tags
0	1	낙지천하	맛집 맛집 맛집 맛집 맛집 맛집 맛집 북면 북면 북면 북면 북면 배달 배달 배달 배달 음식 음식 음식 추천 추천 추천 낙지 낙지 시골 시골 음식점 음식점 진짜 진짜 기력 다음주 무동 세명 소개 아부지 요즘 용포탕 이사오 천하 최고	창원마산 창원 마산 창원북면 북면천주로 북면점심 낙곱새 낙곱새비빔밥 소중한사람과함께 수다떨기 오늘도 역시 즐거웠던시간 낙지천하
1	3	가마솥추어탕	추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 추천 추천 추천 추천 추천 추천 추천 추천 추천 다슬기 다슬기 다슬기 다슬기 가마솥 가마솥 가마솥 들깨 들깨 들깨 밥집 밥집 밥집 국물 국물 포장 포장 한해 한해 간이 거마 공유 근처 김해 나이 나흘 노래 눈독	3대째가마솥추어탕밀양이다 부산방랑자 전국방랑자 방랑자 추어탕 추어튀김 가마솥추어탕 시골풍경 밀양맛집 수산리 방랑_3대째가마솥추어탕 방랑_밀양맛집 방랑_추어탕
2	5	경호강메기탕	창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 마산 마산 마산 마산 마산 마산 마산 진해 진해 진해 진해 진해 진해 생각 생각 생각 생각 어탕 어탕 어탕 어탕 추천 추천 추천 추천 횟집 횟집 횟집 횟집 곱창 곱창 곱창 돈까스 돈까스 돈까스 리스트 리스트 리스트 상남 상남 상남 짬뽕 짬뽕 짬뽕 갈비 갈비 국밥 국밥 국수 국수 모두 모두 불고기 불고기 아구찜 아구찜 어디어디	어탕국수 명서동 경호강메기탕1년뒤엔
3	7	국일성	추천 추천 추천 추천 추천 추천 창원 창원 창원 창원 근처 근처 근처 맛집 맛집 맛집 시티 시티 시티 유니 유니 유니 음식 음식 음식 중국집 중국집 중국집 가족 가족 계동 계동 도로 도로 마구 마구 메뉴 메뉴 모임 모임 배달 배달 부산 부산 식당 식당 직진 직진 집들이 집들이 참고참고	간짜장 국일성 창원 chinese cuisine
4	8	금화	금화 금화 금화 금화 금화 금화 금화 식당 식당 식당 식당 식당 용동 용동 용동 용동 창원 창원 창원 노포 노포 동남 동남 중국집 중국집 회관 회관 가능 고추 꽃빵 네이버 누구 라면 리극강 마지막 맛집 배달 보신 사람	기념주화 금화 은화 CommemorativeCoins_DPRK puregoldcoin puresilvercoin coingold coinsilver Coin
5	9	기장대게	번호 번호 검색 기장 다른 대게 도매 용호동 전화번호 창원	부산여행 부산가볼만한곳 부산대게맛집 부산맛집추천\u2063 기장맛집 기장시장대게 기장맛집\u2063 부산기장맛집 부산맛집 기장대게 기장대게맛집\u2063 부산대게
6	10	남해일식	남해 남해 남해 남해 맛집 맛집 맛집 맛집 일식 일식 일식 일식 창원 창원 창원 창원 추천 추천 추천 물회 물회 식당 식당 가보 가족 갈수 같고룸 개인 공간 군데 모시 별도 부탁 삿뽀로 상관 상남동	남해여행 너와나의꿈 제철생선 남해맛집 남해일식 미조항 예약필수
7	16	동해해물탕	고니 고니 고니 하나로마트	파라다이스시티호텔 인천 호캉스 지워니그램 8개월아기 246일아기 가족여행 파라다이스맛집 라스칼라 트러플피자 임페리얼트레져 또가고싶네 동해해물탕 해물탕맛집 아구찜도먹고 햄볶아요
8	17	송림정흑염소구이	염소 염소 염소 염소 염소 염소 염소 염소 염소 염소 구이 구이 구이 구이 기력 기력 기력 기력 보아 보아 보아 보아 보충 보충 보충 보충 여름 여름 여름 여름 음식 음식 음식 음식 전골 전골 전골 전골 주차 주차 주차 백숙 백숙 영양 영양 오리 오리 창원시 창원시 가격 경남 경상남도 고혈압 꼼장어 날씨 노곤	LPbar drumbar 드럼바 유열님도 삼촌한테들어서알아요 창원바 창원카페..용지호수 검색해도안나옴 송림정흑염소구이 bose901 speaker rockmusic
9	23	박영수손짜장	짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 추천 추천 추천 추천 추천 탕수육 탕수육 탕수육 탕수육 탕수육 역시 역시 역시 이상 이상 이상 자장면 자장면 자장면 중국집 중국집 중국집 짜장면 짜장면 짜장면 출연 출연 출연 가게 가게 가격 가격 각종 각종 데이트 데이트 메뉴 메뉴 사진 사진 요리 요리 이름이름	박영수손짜장다음엔 매운짜장 거제박영수손짜장순천
