,skey,yy,signgu,rstrt_se,mnmnu,rstrt_nm,adres,telno,rstrt_mentn_co,kwrd_list,kwrd_list_fq_co,kwrd_all,rstrt_mentn_co_all,final_keywords
0,1,2020,창원시,한식,"낙지전골, 낙지복음",낙지천하,의창구 북면 신촌 본포로32,055-255-0885,6,"맛집, 북면, 배달, 음식, 추천, 낙지, 시골, 음식점, 진짜, 기력, 다음주, 무동, 세명, 소개, 아부지, 요즘, 용포탕, 이사오, 천하, 최고","7, 5, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","맛집,맛집,맛집,맛집,맛집,맛집,맛집,북면,북면,북면,북면,북면,배달,배달,배달,배달,음식,음식,음식,추천,추천,추천,낙지,낙지,시골,시골,음식점,음식점,진짜,진짜,기력,다음주,무동,세명,소개,아부지,요즘,용포탕,이사오,천하,최고",0,맛집 맛집 맛집 맛집 맛집 맛집 맛집 북면 북면 북면 북면 북면 배달 배달 배달 배달 음식 음식 음식 추천 추천 추천 낙지 낙지 시골 시골 음식점 음식점 진짜 진짜 기력 다음주 무동 세명 소개 아부지 요즘 용포탕 이사오 천하 최고
1,3,2020,창원시,한식,"추어탕,다슬기탕",가마솥추어탕,의창구 북면 천주로 1019-22 (1층),055-298-3555,10,"추어탕, 북면, 맛집, 추천, 다슬기, 가마솥, 들깨, 밥집, 국물, 포장, 한해, 간이, 거마, 공유, 근처, 김해, 나이, 나흘, 노래, 눈독","14, 12, 9, 9, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1","추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,추어탕,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,추천,추천,추천,추천,추천,추천,추천,추천,추천,다슬기,다슬기,다슬기,다슬기,가마솥,가마솥,가마솥,들깨,들깨,들깨,밥집,밥집,밥집,국물,국물,포장,포장,한해,한해,간이,거마,공유,근처,김해,나이,나흘,노래,눈독",1,추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 추어탕 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 추천 추천 추천 추천 추천 추천 추천 추천 추천 다슬기 다슬기 다슬기 다슬기 가마솥 가마솥 가마솥 들깨 들깨 들깨 밥집 밥집 밥집 국물 국물 포장 포장 한해 한해 간이 거마 공유 근처 김해 나이 나흘 노래 눈독
2,5,2020,창원시,한식,"어탕국수,메기매운탕",경호강메기탕,의창구 창이대로85번길 5 (명서동),055-283-7669,3,"창원, 맛집, 마산, 진해, 생각, 어탕, 추천, 횟집, 곱창, 돈까스, 리스트, 상남, 짬뽕, 갈비, 국밥, 국수, 모두, 불고기, 아구찜, 어디","14, 10, 7, 6, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2","창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,마산,마산,마산,마산,마산,마산,마산,진해,진해,진해,진해,진해,진해,생각,생각,생각,생각,어탕,어탕,어탕,어탕,추천,추천,추천,추천,횟집,횟집,횟집,횟집,곱창,곱창,곱창,돈까스,돈까스,돈까스,리스트,리스트,리스트,상남,상남,상남,짬뽕,짬뽕,짬뽕,갈비,갈비,국밥,국밥,국수,국수,모두,모두,불고기,불고기,아구찜,아구찜,어디어디",0,창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 마산 마산 마산 마산 마산 마산 마산 진해 진해 진해 진해 진해 진해 생각 생각 생각 생각 어탕 어탕 어탕 어탕 추천 추천 추천 추천 횟집 횟집 횟집 횟집 곱창 곱창 곱창 돈까스 돈까스 돈까스 리스트 리스트 리스트 상남 상남 상남 짬뽕 짬뽕 짬뽕 갈비 갈비 국밥 국밥 국수 국수 모두 모두 불고기 불고기 아구찜 아구찜 어디어디
3,7,2020,창원시,중식,중화요리,국일성,"의창구 의안로31번길 26 (중동,1층)",055-255-3588,7,"추천, 창원, 근처, 맛집, 시티, 유니, 음식, 중국집, 가족, 계동, 도로, 마구, 메뉴, 모임, 배달, 부산, 식당, 직진, 집들이, 참고","6, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","추천,추천,추천,추천,추천,추천,창원,창원,창원,창원,근처,근처,근처,맛집,맛집,맛집,시티,시티,시티,유니,유니,유니,음식,음식,음식,중국집,중국집,중국집,가족,가족,계동,계동,도로,도로,마구,마구,메뉴,메뉴,모임,모임,배달,배달,부산,부산,식당,식당,직진,직진,집들이,집들이,참고참고",0,추천 추천 추천 추천 추천 추천 창원 창원 창원 창원 근처 근처 근처 맛집 맛집 맛집 시티 시티 시티 유니 유니 유니 음식 음식 음식 중국집 중국집 중국집 가족 가족 계동 계동 도로 도로 마구 마구 메뉴 메뉴 모임 모임 배달 배달 부산 부산 식당 식당 직진 직진 집들이 집들이 참고참고
4,8,2020,창원시,중식,중화요리,금화,의창구 의창대로 450,055-273-1864,2,"금화, 식당, 용동, 창원, 노포, 동남, 중국집, 회관, 가능, 고추, 꽃빵, 네이버, 누구, 라면, 리극강, 마지막, 맛집, 배달, 보신, 사람","7, 5, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","금화,금화,금화,금화,금화,금화,금화,식당,식당,식당,식당,식당,용동,용동,용동,용동,창원,창원,창원,노포,노포,동남,동남,중국집,중국집,회관,회관,가능,고추,꽃빵,네이버,누구,라면,리극강,마지막,맛집,배달,보신,사람",0,금화 금화 금화 금화 금화 금화 금화 식당 식당 식당 식당 식당 용동 용동 용동 용동 창원 창원 창원 노포 노포 동남 동남 중국집 중국집 회관 회관 가능 고추 꽃빵 네이버 누구 라면 리극강 마지막 맛집 배달 보신 사람
5,9,2020,창원시,한식,대게,기장대게,"의창구 원이대로579번길 24 (용호동,101호)",055-264-3300,1,"번호, 검색, 기장, 다른, 대게, 도매, 용호동, 전화번호, 창원","2, 1, 1, 1, 1, 1, 1, 1, 1","번호,번호,검색,기장,다른,대게,도매,용호동,전화번호,창원",0,번호 번호 검색 기장 다른 대게 도매 용호동 전화번호 창원
6,10,2020,창원시,일식,"초밥,생선회",남해일식,의창구 상남로 224-1 (신월동),055-285-8489,6,"남해, 맛집, 일식, 창원, 추천, 물회, 식당, 가보, 가족, 갈수, 같고룸, 개인, 공간, 군데, 모시, 별도, 부탁, 삿뽀로, 상관, 상남동","4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","남해,남해,남해,남해,맛집,맛집,맛집,맛집,일식,일식,일식,일식,창원,창원,창원,창원,추천,추천,추천,물회,물회,식당,식당,가보,가족,갈수,같고룸,개인,공간,군데,모시,별도,부탁,삿뽀로,상관,상남동",0,남해 남해 남해 남해 맛집 맛집 맛집 맛집 일식 일식 일식 일식 창원 창원 창원 창원 추천 추천 추천 물회 물회 식당 식당 가보 가족 갈수 같고룸 개인 공간 군데 모시 별도 부탁 삿뽀로 상관 상남동
7,16,2020,창원시,한식,해물탕,동해해물탕,"의창구 의안로31번길 6 (중동,1층)",055-298-9904,1,"고니, 하나로마트","3, 1","고니,고니,고니,하나로마트",0,고니 고니 고니 하나로마트
8,17,2020,창원시,한식,흑염소구이,송림정흑염소구이,의창구 용지로169번길 11-15 (용호동),055-264-1376,1,"염소, 구이, 기력, 보아, 보충, 여름, 음식, 전골, 주차, 백숙, 영양, 오리, 창원시, 가격, 경남, 경상남도, 고혈압, 꼼장어, 날씨, 노곤","10, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1","염소,염소,염소,염소,염소,염소,염소,염소,염소,염소,구이,구이,구이,구이,기력,기력,기력,기력,보아,보아,보아,보아,보충,보충,보충,보충,여름,여름,여름,여름,음식,음식,음식,음식,전골,전골,전골,전골,주차,주차,주차,백숙,백숙,영양,영양,오리,오리,창원시,창원시,가격,경남,경상남도,고혈압,꼼장어,날씨,노곤",0,염소 염소 염소 염소 염소 염소 염소 염소 염소 염소 구이 구이 구이 구이 기력 기력 기력 기력 보아 보아 보아 보아 보충 보충 보충 보충 여름 여름 여름 여름 음식 음식 음식 음식 전골 전골 전골 전골 주차 주차 주차 백숙 백숙 영양 영양 오리 오리 창원시 창원시 가격 경남 경상남도 고혈압 꼼장어 날씨 노곤
9,23,2020,창원시,중식,자장면,박영수손짜장,의창구 원이대로 56번길 2-75 (중동),070-7367-5516,3,"짜장, 맛집, 창원, 박영수, 추천, 탕수육, 역시, 이상, 자장면, 중국집, 짜장면, 출연, 가게, 가격, 각종, 데이트, 메뉴, 사진, 요리, 이름","15, 14, 12, 11, 5, 5, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2","짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,짜장,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,박영수,박영수,박영수,박영수,박영수,박영수,박영수,박영수,박영수,박영수,박영수,추천,추천,추천,추천,추천,탕수육,탕수육,탕수육,탕수육,탕수육,역시,역시,역시,이상,이상,이상,자장면,자장면,자장면,중국집,중국집,중국집,짜장면,짜장면,짜장면,출연,출연,출연,가게,가게,가격,가격,각종,각종,데이트,데이트,메뉴,메뉴,사진,사진,요리,요리,이름이름",0,짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 짜장 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 박영수 추천 추천 추천 추천 추천 탕수육 탕수육 탕수육 탕수육 탕수육 역시 역시 역시 이상 이상 이상 자장면 자장면 자장면 중국집 중국집 중국집 짜장면 짜장면 짜장면 출연 출연 출연 가게 가게 가격 가격 각종 각종 데이트 데이트 메뉴 메뉴 사진 사진 요리 요리 이름이름
