	skey	rstrt_nm	keywords
0	1	낙지천하	맛집 북면 배달 음식 추천 낙지 시골 음식점 진짜 기력 다음주 무동 세명 소개 아부지 요즘 용포탕 이사오 천하 최고
1	3	가마솥추어탕	추어탕 북면 맛집 추천 다슬기 가마솥 들깨 밥집 국물 포장 한해 간이 거마 공유 근처 김해 나이 나흘 노래 눈독
2	5	경호강메기탕	창원 맛집 마산 진해 생각 어탕 추천 횟집 곱창 돈까스 리스트 상남 짬뽕 갈비 국밥 국수 모두 불고기 아구찜 어디
3	7	국일성	추천 창원 근처 맛집 시티 유니 음식 중국집 가족 계동 도로 마구 메뉴 모임 배달 부산 식당 직진 집들이 참고
4	8	금화	금화 식당 용동 창원 노포 동남 중국집 회관 가능 고추 꽃빵 네이버 누구 라면 리극강 마지막 맛집 배달 보신 사람
5	9	기장대게	번호 검색 기장 다른 대게 도매 용호동 전화번호 창원
6	10	남해일식	남해 맛집 일식 창원 추천 물회 식당 가보 가족 갈수 같고룸 개인 공간 군데 모시 별도 부탁 삿뽀로 상관 상남동
7	16	동해해물탕	고니 하나로마트
8	17	송림정흑염소구이	염소 구이 기력 보아 보충 여름 음식 전골 주차 백숙 영양 오리 창원시 가격 경남 경상남도 고혈압 꼼장어 날씨 노곤
9	23	박영수손짜장	짜장 맛집 창원 박영수 추천 탕수육 역시 이상 자장면 중국집 짜장면 출연 가게 가격 각종 데이트 메뉴 사진 요리 이름
10	24	백제계삼탕	맛집 미리 백제 삼계탕 용호동 점심시간 주문 창원 가시 건강 고추 공간 국물 국산 국수 기본 기피 김치 달라 드라마
11	29	생초메기탕	어탕 국수 맛집 마창진 만난 메기 생초 수고 수다 어디 왓어 용동 친구 탕집
12	31	석정한정식	한정식 창원 추천 내일 맛집 모시 식사 어디가 어른 제발
13	34	성심농장가든	백숙 감사 마산 말복 맛집 미리 오늘 창원 추천 혹시
14	35	생포갈비	맛집 돌싱 클럽 갈비 곡동 구글플레이 김경 닉네임 모임 방도 본인 비상 상권 상담 생포 성별 소개팅 소송 신청 싱글
