,2
0,소반(팔용동)
1,수제갈비 창원중동점
2,이바돔감자탕(용호동)
3,임진각식당(팔용동)
4,주남오리궁(동읍)
5,판문점(팔용동)
6,푸주옥(창원)
7,할머니국밥집
8,향우본가(식육식당)
9,천지우식당
10,우람한우마을(상남동)
11,신마산합천흑돼지황토한우
12,판문점(오동동)
13,한우촌(마산)
14,24시 남양돼지국밥
15,마당있는집(합성동)
16,맛있는 생오리
17,우람한우마을(마산)
18,꽃마름샤브진해석동점
19,마당있는집(자은동)
20,무교동낙지(용원점)
21,숯불한판석동점
22,신라아구찜
23,임진각(진해)
24,진해농협한우정
25,서울설렁탕(진주)
26,원주특수통닭(동성동)
27,두성유통(주)문산휴게소
28,만리장성
29,하연옥(하대점)
30,뚱보화로불고기 칠암점
31,서울설렁탕(상대동)
32,강가명가(진주본점)
33,뚱보화로불고기 평거점
34,(주)엠비씨컨벤션진주
35,진주냉면(상대동)
36,서울식당
37,대가한우촌(무전동)
38,진주집(사천)
39,삼천포추어탕
40,가얏골감자탕(김해)
41,포크밸리로스트
42,입소문 맷돌 순두부
43,웨딩블랑
44,그바다에 가면
45,계룡산숯불갈비 장승포점
46,보리네생고깃간(고현점)
47,맛찬들왕소금구이 옥포점
48,한우포차식육식당
49,장수녹각삼계탕(덕계동)
50,경원궁&미나미
51,범어가마솥
52,조방낙지(양산)
53,신라해장국(양산)
54,진송추어탕(양산)
55,나룻터가는길
56,사랑채(함안)
57,양평해장국(함안)
58,낙동강 칠백리
59,양평해장국(창녕)
60,늘봄가든(고성)
61,우성갈비
62,정든집
63,주남오리궁(동읍)
64,캠프흙시루가든
65,남해 대청마루
66,남해 어부림
67,남해 사랑채
68,제일회센타
69,지리산장당계곡식당
70,오감원 레스토랑
71,갑을식당(함양)
72,쌈촌구이&샤브
73,바우석쇠
74,늘봄가든(함양)
75,애우전문점 거창축협한우팰리스
76,파스타부오노(거창점)
77,대식한우명가
